src,tar,t,label
6338,6343,5,0
5560,5564,5,0
4953,4959,5,0
4622,4621,5,0
4410,4416,5,0
3802,3810,5,0
3318,3323,5,0
536,546,5,0
5720,5734,5,0
4959,4954,5,0
4623,4625,5,0
4412,4411,5,0
1728,1757,5,1
6161,6164,5,0
3667,3656,5,0
2209,2247,5,0
6171,6162,5,0
3667,3688,5,0
2369,2398,5,0
2209,2244,5,0
1072,1103,5,0
731,767,5,0
4259,4288,5,0
3961,3959,5,0
2681,2714,5,0
2371,2369,5,0
1072,1074,5,0
733,731,5,0
4261,4259,5,0
4111,4110,5,0
3961,3995,5,0
3166,3198,5,0
2681,2684,5,0
1901,1932,5,0
1273,1270,5,0
5261,5259,5,0
6017,6009,5,0
5865,5869,5,0
1577,1569,5,0
1416,1421,5,0
6491,6502,5,0
5409,5443,5,0
5108,5112,5,0
2057,2056,5,0
1579,1577,5,0
884,918,5,0
6338,6341,5,0
5561,5559,5,0
5409,5437,5,0
5107,5144,5,0
3803,3802,5,0
3318,3349,5,0
2987,2989,5,0
885,890,5,0
6338,6372,5,0
5711,5742,5,0
5559,5597,5,0
4955,4953,5,0
4623,4658,5,0
4411,4413,5,0
3802,3835,5,0
3318,3352,5,0
2986,2991,5,0
2521,2555,5,0
1729,1765,5,0
536,546,5,0
5711,5745,5,0
4953,4988,5,0
4623,4652,5,0
4411,4408,5,0
2521,2552,5,0
1728,1757,5,0
536,565,5,0
6161,6194,5,0
3655,3667,5,0
2209,2241,5,0
6163,6161,5,0
3667,3685,5,0
2369,2401,5,0
1073,1072,5,0
731,761,5,0
4118,4109,5,0
3961,3989,5,0
3667,3658,5,0
2681,2711,5,0
1902,1910,5,0
731,764,5,0
4118,4109,5,0
4109,4118,5,0
1272,1270,5,0
737,732,5,0
4109,4114,5,0
5261,5291,6,0
3473,3479,6,0
5262,5265,6,0
2837,2866,6,0
6011,6010,6,0
2836,2869,6,0
2056,2058,6,0
1579,1571,6,0
6492,6491,6,0
5866,5899,6,0
5409,5440,6,0
5107,5141,6,0
2056,2084,6,0
1579,1600,6,0
884,887,6,0
6491,6524,6,0
6338,6375,6,0
5866,5868,6,0
5559,5562,6,0
5411,5409,6,0
5109,5107,6,0
3802,3838,6,0
3318,3346,6,0
2987,3015,6,0
884,915,6,0
6338,6369,6,0
5713,5711,6,0
5559,5591,6,0
4953,4985,6,0
4624,4623,6,0
4411,4446,6,0
3802,3804,6,0
3319,3318,6,0
2987,3018,6,0
2521,2558,6,0
1729,1731,6,0
534,536,6,0
5711,5714,6,0
4953,4991,6,0
4623,4655,6,0
4411,4440,6,0
2521,2523,6,0
1730,1729,6,0
536,568,6,0
6161,6197,6,0
4622,4627,6,0
2369,2374,6,0
1068,1071,6,0
6161,6200,6,0
3961,3967,6,0
3653,3657,6,0
2370,2374,6,0
2209,2241,6,0
6162,6171,6,0
2223,2216,6,0
6161,6160,6,0
4259,4263,6,0
2209,2216,6,0
6162,6167,6,0
4259,4257,6,0
4118,4110,6,0
2223,2244,6,0
731,761,6,0
731,737,6,0
736,731,6,0
4777,4783,6,0
3473,3482,6,0
5261,5294,6,0
3475,3474,6,0
6010,6042,6,0
5259,5261,6,0
2837,2872,6,0
1415,1418,6,0
6010,6039,6,0
2838,2837,6,0
2056,2090,6,0
1570,1579,6,0
6491,6527,6,0
5866,5896,6,0
5409,5412,6,0
5107,5110,6,0
2056,2087,6,0
1579,1606,6,0
884,921,6,0
6491,6530,6,0
6340,6338,6,0
5866,5902,6,0
5559,5594,6,0
5107,5138,6,0
3802,3832,6,0
3318,3320,6,0
2987,3021,6,0
886,884,6,0
5711,5748,6,0
5108,5141,6,0
4953,4956,6,0
4411,4443,6,0
2988,2987,6,0
2522,2521,6,0
1729,1762,6,0
885,892,6,0
536,571,6,0
5108,5112,6,0
1729,1768,6,0
1068,1072,6,0
536,533,6,0
3166,3175,6,0
2987,2992,6,0
1910,1940,6,0
1729,1737,6,0
535,539,6,0
1938,1940,6,0
1901,1900,6,0
1272,1270,6,0
539,536,6,0
6183,6171,6,0
4110,4115,6,0
1902,1910,6,0
2210,2216,6,0
535,539,6,0
4109,4113,6,0
4110,4114,6,0
4109,4115,6,0
732,737,6,0
4778,4810,7,0
3473,3507,7,0
5261,5264,7,0
3474,3507,7,0
1415,1449,7,0
6010,6012,7,0
5261,5288,7,0
2837,2869,7,0
1415,1446,7,0
6010,6045,7,0
5409,5437,7,0
2837,2839,7,0
1579,1603,7,0
6491,6493,7,0
6338,6336,7,0
5867,5866,7,0
5560,5564,7,0
3802,3832,7,0
3323,3318,7,0
2837,2840,7,0
6338,6334,7,0
4954,4988,7,0
6338,6349,7,0
5720,5734,7,0
2520,2525,7,0
6338,6342,7,0
5742,5720,7,0
4419,4410,7,0
3653,3658,7,0
2521,2525,7,0
1729,1726,7,0
6339,6336,7,0
4621,4622,7,0
3654,3657,7,0
3166,3174,7,0
2682,2685,7,0
2521,2534,7,0
2369,2398,7,0
5108,5105,7,0
4622,4627,7,0
3801,3799,7,0
3653,3658,7,0
3166,3170,7,0
2986,2992,7,0
2521,2534,7,0
6162,6194,7,0
4259,4257,7,0
2520,2552,7,0
1273,1300,7,0
3658,3667,7,0
2210,2247,7,0
3654,3652,7,0
2521,2525,7,0
2526,2520,7,0
4110,4113,7,0
736,732,7,0
4779,4778,7,0
4778,4807,7,0
3474,3476,7,0
5263,5261,7,0
3474,3510,7,0
1417,1415,7,0
5410,5414,7,0
1577,1568,7,0
1415,1452,7,0
6502,6491,7,0
5871,5878,7,0
3318,3323,7,0
2834,2836,7,0
2056,2084,7,0
1416,1421,7,0
5865,5871,7,0
4954,4991,7,0
3318,3315,7,0
5871,5878,7,0
4953,4988,7,0
3323,3317,7,0
5711,5715,7,0
4959,4953,7,0
3317,3323,7,0
1737,1728,7,0
884,882,7,0
6339,6344,7,0
5865,5869,7,0
4419,4411,7,0
2682,2685,7,0
2368,2370,7,0
1071,1075,7,0
5147,5138,7,0
3957,3961,7,0
1072,1068,7,0
4263,4260,7,0
3961,3992,7,0
1071,1066,7,0
4621,4623,7,0
3167,3175,7,0
536,539,7,0
1272,1270,7,1
2520,2526,7,0
1273,1270,7,1
4118,4110,7,0
4110,4140,7,0
731,736,7,0
4778,4780,8,0
4778,4813,8,0
5261,5259,8,0
4778,4775,8,0
3474,3504,8,0
5560,5570,8,0
2837,2852,8,0
2055,2064,8,0
4777,4810,8,0
2055,2061,8,0
1577,1568,8,0
4778,4774,8,0
2056,2064,8,0
5734,5720,8,0
4954,4985,8,0
3317,3323,8,0
2055,2087,8,0
1729,1737,8,0
5866,5869,8,0
1737,1728,8,0
4410,4415,8,0
1728,1727,8,0
4411,4419,8,0
4260,4263,8,0
2986,3018,8,0
4627,4623,8,0
4419,4411,8,0
2992,2986,8,0
2223,2216,8,0
1901,1935,8,0
1072,1066,8,0
4411,4419,8,0
2223,2216,8,0
536,539,8,0
1272,1270,8,1
536,546,8,0
4110,4172,8,0
1272,1270,8,1
4110,4166,8,0
1272,1270,8,1
1272,1270,8,1
1272,1330,8,0
1272,1333,8,0
5262,5267,8,0
5414,5410,8,0
2837,2872,8,0
1569,1577,8,0
1416,1421,8,0
6009,6015,8,0
5559,5570,8,0
4778,4775,8,0
1416,1421,8,0
5711,5716,8,0
3317,3323,8,0
2056,2064,8,0
888,885,8,0
5570,5560,8,0
5559,5564,8,0
2680,2682,8,0
5147,5141,8,0
5147,5106,8,0
4622,4655,8,0
4260,4263,8,0
3995,3962,8,0
3802,3810,8,0
2987,2990,8,0
1757,1728,8,0
1072,1068,8,0
6162,6171,8,0
4260,4263,8,0
1729,1757,8,0
4411,4408,8,0
2223,2214,8,1
2525,2520,8,0
2216,2210,8,1
1902,1910,8,0
539,536,8,0
535,533,8,0
4110,4112,8,0
733,731,8,0
4110,4169,8,0
731,792,8,0
1272,1275,8,0
1272,1336,8,0
5262,5259,9,0
5414,5409,9,0
2837,2852,9,0
2852,2837,9,0
4775,4778,9,0
1577,1569,9,0
5720,5734,9,0
4953,4949,9,0
4777,4784,9,0
3317,3323,9,0
2837,2834,9,0
1579,1600,9,0
890,885,9,0
4778,4782,9,0
1569,1573,9,0
885,890,9,0
6338,6335,9,0
5863,5865,9,0
5560,5570,9,0
2681,2687,9,0
2064,2056,9,0
1416,1421,9,0
6339,6342,9,0
2055,2064,9,0
1577,1569,9,0
1415,1446,9,0
885,890,9,0
5108,5105,9,0
4623,4621,9,0
3802,3807,9,0
2369,2374,9,0
6183,6171,9,0
4260,4264,9,0
2370,2374,9,0
6183,6171,9,0
3961,3959,9,0
2987,2992,9,0
2370,2375,9,0
6171,6162,9,0
2986,2990,9,0
2522,2520,9,0
2370,2404,9,0
1910,1940,9,0
1729,1757,9,0
6161,6165,9,0
3655,3667,9,0
2209,2241,9,1
1940,1962,9,0
535,593,9,0
535,590,9,0
4111,4110,9,0
731,734,9,0
731,786,9,0
1274,1272,9,0
3479,3474,9,0
5414,5410,9,0
5259,5261,9,0
6535,6502,9,0
5409,5407,9,0
5266,5262,9,0
5720,5710,9,0
5261,5259,9,0
4953,4951,9,0
3317,3322,9,0
6016,6010,9,0
5566,5557,9,0
4954,4991,9,0
5878,5871,9,1
5559,5570,9,0
4953,4951,9,0
3323,3317,9,0
2056,2054,9,0
1577,1569,9,0
1415,1421,9,0
5865,5871,9,1
4954,4959,9,0
3167,3175,9,0
1068,1071,9,0
888,885,9,0
5566,5558,9,0
4954,4958,9,0
4623,4652,9,1
4258,4259,9,0
6336,6338,9,0
5878,5871,9,1
4411,4466,9,0
3992,3961,9,0
5871,5878,9,1
4411,4443,9,0
2988,2986,9,0
2369,2427,9,0
1757,1728,9,0
6183,6226,9,0
5871,5878,9,1
3667,3711,9,0
2986,3047,9,0
2520,2576,9,0
2369,2430,9,0
2209,2216,9,1
1940,1904,9,0
6183,6164,9,0
5878,5871,9,1
3667,3708,9,0
2520,2579,9,0
2223,2218,9,1
1940,1959,9,0
5871,5865,9,1
2209,2241,9,1
535,596,9,0
4110,4118,9,0
534,535,9,0
4118,4109,9,0
731,789,9,0
536,596,9,0
4143,4110,9,0
4110,4107,9,0
3473,3479,10,0
6524,6490,10,0
3479,3474,10,0
5410,5440,10,0
5712,5710,10,0
5720,5742,10,0
5261,5259,10,0
5712,5734,10,0
5712,5734,10,0
4777,4775,10,0
3318,3323,10,0
2064,2056,10,0
1579,1577,10,0
2682,2687,10,0
2056,2064,10,0
886,885,10,0
5559,5562,10,0
5147,5170,10,0
4954,4961,10,0
4259,4313,10,0
3801,3804,10,0
3168,3166,10,0
1073,1071,10,0
884,888,10,0
6340,6338,10,0
5559,5622,10,0
5109,5147,10,0
4259,4262,10,0
3961,3964,10,0
3803,3801,10,0
1071,1074,10,0
6338,6401,10,0
4622,4621,10,1
4411,4472,10,0
3963,3961,10,0
4622,4629,10,1
4412,4411,10,0
2986,3044,10,0
2369,2424,10,0
1729,1795,10,0
6183,6223,10,0
3667,3714,10,0
2986,3041,10,0
2520,2523,10,0
2371,2369,10,0
1940,1965,10,0
1730,1729,10,0
6163,6183,10,0
5865,5931,10,0
3667,3656,10,0
2520,2582,10,0
1903,1940,10,0
5867,5865,10,0
3653,3714,10,0
2521,2534,10,0
2216,2210,10,1
1902,1959,10,0
3658,3667,10,0
2520,2534,10,0
2216,2209,10,1
3653,3658,10,0
2223,2216,10,1
732,736,10,0
535,565,10,0
2223,2216,10,1
4118,4110,10,0
2223,2214,10,1
1272,1306,10,0
2216,2209,10,1
6490,6496,10,0
5410,5414,10,0
3474,3479,10,0
5259,5262,10,0
2837,2866,10,0
5720,5748,10,0
3317,3323,10,0
1579,1577,10,0
4778,4836,10,0
3317,3323,10,0
2057,2055,10,0
1579,1577,10,0
4778,4839,10,0
3166,3225,10,0
2055,2117,10,0
885,940,10,0
5561,5559,10,0
5147,5164,10,0
4954,5010,10,0
4261,4259,10,0
3801,3863,10,0
3166,3169,10,0
1071,1131,10,0
885,887,10,0
6338,6395,10,0
5559,5619,10,0
5147,5167,10,0
4259,4263,10,0
3959,3961,10,0
3801,3857,10,0
1071,1125,10,0
6338,6341,10,0
4621,4622,10,1
4411,4469,10,0
3961,4022,10,0
4623,4621,10,1
4411,4413,10,0
2986,2989,10,0
2369,2372,10,0
1729,1731,10,0
6183,6220,10,0
4621,4623,10,1
1729,1789,10,0
5865,5925,10,0
4624,4623,10,0
1940,1910,10,0
5865,5868,10,0
2525,2521,10,0
732,786,10,0
535,590,10,0
535,593,10,0
4110,4118,10,0
2209,2282,10,0
3658,3654,10,0
2209,2285,10,0
1272,1300,10,0
6490,6524,11,0
5449,5414,11,0
5410,5443,11,0
3474,3507,11,0
5409,5415,11,0
5262,5264,11,0
5261,5257,11,0
6017,6009,11,0
5720,5771,11,0
3318,3378,11,0
1579,1629,11,0
4778,4780,11,0
3319,3318,11,0
2055,2058,11,0
1579,1571,11,0
4954,5016,11,0
4779,4778,11,0
3166,3228,11,0
2055,2111,11,0
885,946,11,0
5559,5616,11,0
5147,5110,11,0
4954,4956,11,0
4259,4319,11,0
3801,3860,11,0
3166,3222,11,0
1071,1128,11,0
885,943,11,0
6338,6398,11,0
4259,4316,11,0
3961,4019,11,0
3961,4016,11,0
2369,2374,11,0
6161,6171,11,0
3959,3961,11,0
1729,1792,11,0
4623,4625,11,0
5865,5928,11,0
4623,4688,11,0
737,732,11,0
539,536,11,0
2211,2209,11,0
1272,1270,11,0
2209,2212,11,0
3654,3658,11,0
3654,3651,11,0
3653,3658,11,0
3518,3470,11,0
5449,5408,11,0
5409,5412,11,0
5262,5316,11,0
2837,2892,11,0
6009,6072,11,0
5259,5261,11,0
2836,2842,11,0
6010,6008,11,0
5720,5714,11,0
1415,1476,11,0
5720,5768,11,0
3318,3372,11,0
2683,2682,11,0
1579,1626,11,0
1415,1479,11,0
4778,4833,11,0
3318,3375,11,0
2682,2738,11,0
2055,2114,11,0
1579,1632,11,0
5147,5114,11,0
4954,5013,11,0
4955,4954,11,0
3802,3832,11,0
3167,3170,11,0
1072,1066,11,0
884,883,11,0
6338,6349,11,0
5570,5560,11,0
3810,3801,11,0
2370,2404,11,0
1072,1075,11,0
6338,6349,11,0
4410,4443,11,0
4260,4294,11,0
3961,3967,11,0
3802,3832,11,0
3048,3041,11,0
1728,1737,11,0
1071,1125,11,0
6339,6344,11,0
3801,3810,11,0
4623,4685,11,0
2520,2576,11,0
4623,4691,11,0
2521,2552,11,0
4627,4623,11,0
731,737,11,0
2521,2558,11,0
732,789,11,0
535,590,11,0
731,736,11,1
2520,2525,11,0
2209,2279,11,0
3653,3736,11,0
3655,3653,11,0
6491,6502,12,0
6535,6502,12,0
3518,3472,12,0
5411,5409,12,0
3518,3532,12,0
5409,5470,12,0
5262,5313,12,0
2837,2895,12,0
6009,6015,12,0
5262,5319,12,0
2837,2839,12,0
6009,6069,12,0
5720,5774,12,0
1417,1415,12,0
5713,5720,12,0
4777,4836,12,0
3318,3320,12,0
2682,2741,12,0
1570,1579,12,0
1415,1473,12,0
5107,5111,12,0
2682,2684,12,0
2055,2114,12,0
3166,3201,12,0
2056,2064,12,0
885,890,12,0
5570,5560,12,0
3170,3166,12,0
2404,2369,12,0
885,888,12,0
3967,3961,12,0
2370,2374,12,0
4260,4263,12,0
3868,3810,12,0
1072,1068,12,0
884,943,12,0
4260,4263,12,0
2369,2366,12,0
883,885,12,0
4321,4313,12,0
890,885,12,0
5866,5899,12,0
4622,4621,12,0
4263,4321,12,0
4263,4259,12,0
4109,4118,12,0
536,539,12,0
4259,4294,12,0
737,732,12,1
4263,4321,12,0
1272,1270,12,0
2521,2525,12,0
2210,2216,12,0
3653,3733,12,0
3653,3656,12,0
6535,6493,12,0
6492,6535,12,0
3518,3476,12,0
5409,5464,12,0
3475,3518,12,0
5409,5467,12,0
5263,5262,12,0
2837,2898,12,0
6011,6009,12,0
2838,2837,12,0
6009,6066,12,0
3318,3323,12,0
2834,2836,12,0
1579,1600,12,0
1415,1418,12,0
5720,5716,12,0
4778,4773,12,0
2837,2852,12,0
2682,2744,12,0
5107,5138,12,0
4778,4782,12,0
2834,2837,12,0
2055,2064,12,0
5570,5560,12,0
5105,5108,12,0
4953,4951,12,0
4778,4775,12,0
2836,2852,12,0
5147,5114,12,0
4778,4774,12,0
3961,3995,12,0
3868,3810,12,0
3167,3228,12,0
6349,6339,12,0
2369,2401,12,0
1728,1757,12,0
4623,4621,12,0
2992,3048,12,0
5865,5871,12,0
2987,3041,12,0
1072,1100,12,1
884,943,12,0
1071,1068,12,1
1072,1076,12,1
732,736,12,1
2521,2534,12,0
2210,2216,12,0
1071,1066,12,1
888,884,12,0
731,730,12,1
4261,4260,12,0
2558,2520,12,0
1068,1072,12,1
732,737,12,1
4260,4262,12,0
731,737,12,1
732,736,12,1
731,786,12,1
3653,3739,12,0
732,764,12,0
6535,6553,13,0
6535,6556,13,0
3518,3538,13,0
3518,3535,13,0
5262,5257,13,0
3474,3479,13,0
6009,6012,13,0
3318,3346,13,0
1577,1569,13,0
1416,1421,13,0
5711,5734,13,0
2681,2687,13,0
4954,4957,13,0
2681,2687,13,0
2687,2681,13,0
2055,2064,13,0
6162,6171,13,0
4777,4833,13,0
4411,4419,13,0
3959,3961,13,0
3166,3201,13,0
2682,2686,13,0
5107,5114,13,0
3802,3800,13,0
2374,2369,13,0
1762,1729,13,0
4622,4619,13,0
1729,1757,13,0
5878,5870,13,0
2992,2987,13,0
4118,4110,13,0
1273,1330,13,0
2216,2210,13,0
885,888,13,0
2522,2521,13,0
1072,1131,13,0
884,973,13,0
4260,4339,13,0
2521,2602,13,0
4260,4342,13,0
3658,3654,13,0
732,761,13,0
733,731,13,0
6535,6550,13,0
3518,3479,13,0
1579,1603,13,0
1415,1446,13,0
5467,5409,13,0
3318,3323,13,0
1416,1449,13,0
5470,5410,13,0
3318,3323,13,0
4951,4954,13,0
5564,5566,13,0
4959,4953,13,0
2064,2056,13,0
6183,6160,13,0
5559,5557,13,0
4953,4985,13,0
3166,3172,13,0
2682,2687,13,0
5105,5108,13,0
4410,4419,13,0
3962,3957,13,0
2687,2681,13,0
5111,5147,13,0
3802,3810,13,0
2681,2687,13,0
5138,5108,13,0
4622,4621,13,0
1902,1910,13,0
5108,5111,13,0
2369,2404,13,0
535,596,13,0
4109,4107,13,0
2370,2364,13,0
4109,4166,13,0
2369,2375,13,0
1272,1270,13,0
884,967,13,0
2521,2608,13,0
886,884,13,0
4260,4345,13,0
2521,2523,13,0
3667,3714,13,0
3654,3658,13,0
731,816,13,0
3653,3658,13,0
731,734,13,0
6499,6490,14,0
6010,6069,14,0
5262,5267,14,0
3473,3470,14,0
1568,1629,14,0
5410,5414,14,0
1569,1577,14,0
5711,5734,14,0
2837,2852,14,0
2055,2064,14,0
1415,1421,14,0
5020,4959,14,0
3167,3164,14,0
2837,2834,14,0
2064,2055,14,0
5560,5557,14,0
4777,4839,14,0
4410,4419,14,0
3237,3170,14,0
2837,2892,14,0
2055,2064,14,0
3801,3810,14,0
2837,2852,14,0
2687,2682,14,0
2064,2055,14,0
